TEMPERATURE,D.O.,pH,CONDUCTIVITY ,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM 
5.2,8.6,8.5,126,,0,220,220
15.4,8.7,8.1,124,0.7,0,790,1700
16,8.6,8.1,183,1.4,0,78,230
17.1,9,8.2,170,1.2,0,40,140
16.8,8.6,8.3,151,1.6,0,45,330
16.8,8.6,7.9,,1.5,0,,32
20,6.7,7.9,,5.5,0,,1283
19,6.5,7.8,,5.2,0,,1245
15,7.9,8.1,,2.5,0,,235
21.9,9,7.4,273,2.9,1,767,1402
,,7.4,241,2.6,0,,
,,7.4,243,2.5,0,,
,,7.4,243,2.4,0,,
,,7.5,257,2.4,0,,
25.8,8.2,8,45,4,3,1210,4075
25.3,7.9,8.1,44,4.2,2,1569,4638
25.6,8.5,8.1,41,3.2,2,1300,3792
25.6,8.3,8.1,37,3.4,2,1438,6992
25.6,6.8,8.1,59,6.7,3,13292,70462
19.1,8.3,7.8,212,3.6,1,4645,7591
19.1,8.4,7.8,208,3.4,1,4400,7355
24.7,8.5,8.2,367,3.6,2,5033,21417
24.3,8.4,8.2,374,3.4,2,16100,22417
24.7,8.2,8.3,429,3.6,3,6475,24333
26.2,8.8,7.9,362,2.6,2,1441,3542
27.2,8.4,7.9,365,3.1,2,2808,4600
23.2,8.4,8.2,291,3,0,5500,8833
23.2,7.9,8.5,327,4.6,1.64,34500,49500
23.6,7.9,8.4,336,3.7,0,15167,22500
17,8.6,8.4,387,2.7,0,1913,5250
26.5,7.9,8,391,2.7,0,4925,13143
24.9,8,8.1,341,2.6,0,2356,5378
23.2,8,7.8,161,2.2,0,650,1733
25.7,8.3,8.1,304,2.5,0,1729,3929
25.1,7.8,7.9,350,2.7,0,7378,19571
25.2,7.9,7.8,357,2.8,0,5222,14143
25.7,7.7,7.9,444,4,0,1713,3463
25.3,8.1,7.8,351,2.5,0,2300,6700
24.1,7.9,8,288,2.5,0,1410,3280
24.5,7.8,7.9,330,2.8,0,5000,14250
26.1,7.6,7.9,286,2.5,0,1645,3455
26.1,7.8,7.8,287,2.6,0,1418,3200
25.2,7.6,7.8,303,2.7,0,2673,6818
25.3,7.8,8,263,2.7,0,3055,7909
26.3,8,8,383,2.6,0,2750,9500
24.8,8,8,336,2.6,0,1889,6378
25.2,7.9,8,285,2.4,0,1309,2927
26.5,7.8,8,275,2.4,0,1191,2718
26,7.8,7.9,287,2.5,0,1245,2555
25.1,7.7,7.9,298,2.6,0,1355,3164
25.3,8,7.9,354,2.6,0,1722,4822
27.2,7.5,8,287,2.4,0,1083,2700
26.5,7.4,7.6,295,5.6,1,15071,28547
27.7,7.1,7.5,296,3.4,1,14344,26306
27.1,6.6,8,284,2,2,31038,42482
29.3,7.1,7.5,288,3.5,1,146000,248588
26.8,5.8,7.7,309,3.8,4,253188,381824
26.7,5.9,7.8,292,3.9,1,425313,1075588
25.9,6,7.7,304,3.5,1,237059,855882
25.6,6.1,7.9,301,4,2,300294,942941
25.7,5.4,7.7,314,3.3,1,69500,189706
26.7,6.3,7.8,1437,2.5,1,32824,99647
